time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,q_ad,T,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
61,86.534671,13.38333864,4.349900722,0.095817308,0.159115217,0.370047124,1.728412588,0,0,0,0.020809748,-54.51653305,0,551.13396,85.23765489,27.70424828,0,0,0,0,0,0,0,-341.8991187,0,0,130.98,314.95,0,0,0,0,0,0,0,0,0,0,0,0
62,77.63049044,11.51223029,3.187504626,0.084397521,0.136586075,0.35315806,1.464303941,0,0,0,0.016596335,-46.81363834,0,498.6289005,73.94428014,20.47368138,0,0,0,0,0,0,0,-296.2837853,0,0,210.49,314.3,0,0,0,0,0,0,0,0,0,0,0,0
63,76.58471645,11.29912919,3.108698001,0.079123358,0.126644287,0.335372488,1.435751552,0,0,0,0.016403098,-46.00806642,0,494.7714007,72.99741042,20.08357458,0,0,0,0,0,0,0,-292.8998744,0,0,197.31,314.3,0,0,0,0,0,0,0,0,0,0,0,0
64,77.37209933,11.31696727,2.875471658,0.086471778,0.142302696,0.372708545,1.384656878,0,0,0,0.015026032,-47.09718664,0,493.6663914,72.20698988,18.34671321,0,0,0,0,0,0,0,-296.2991345,0,0,201.67,314.2,0,0,0,0,0,0,0,0,0,0,0,0
65,77.38989352,11.40463545,3.019336926,0.085872993,0.140308465,0.364984946,1.427886437,0,0,0,0.015766158,-46.76165777,0,494.9743494,72.94236693,19.31123384,0,0,0,0,0,0,0,-294.7827583,0,0,196.23,314.35,0,0,0,0,0,0,0,0,0,0,0,0
66,87.16749992,13.46191726,4.324942686,0.098643873,0.165208616,0.383164768,1.71556818,0,0,0,0.020494271,-55.29471696,0,552.9916929,85.40256888,27.43748966,0,0,0,0,0,0,0,-345.4959215,0,0,132.18,314.3,0,0,0,0,0,0,0,0,0,0,0,0
67,89.77994242,13.75668897,3.998303618,0.114463598,0.198129125,0.45785477,1.656052492,0,0,0,0.018266747,-58.27992233,0,556.1708195,85.22024821,24.76878175,0,0,0,0,0,0,0,-355.8955117,0,0,126.24,314.4,0,0,0,0,0,0,0,0,0,0,0,0
68,77.95137225,11.37517917,2.771063333,0.090141166,0.150003572,0.390732055,1.372777373,0,0,0,0.014422572,-47.69370042,0,494.0350795,72.09286226,17.56226291,0,0,0,0,0,0,0,-298.1042794,0,0,204.48,314.4,0,0,0,0,0,0,0,0,0,0,0,0
69,78.47230048,11.56211261,3.009907624,0.089429963,0.14782596,0.380343047,1.425680701,0,0,0,0.015518281,-47.90864709,0,499.2056266,73.55298157,19.14768411,0,0,0,0,0,0,0,-300.4573173,0,0,223.42,314.4,0,0,0,0,0,0,0,0,0,0,0,0
70,76.31840878,11.13364461,2.791784203,0.088088315,0.144081545,0.378126381,1.370295319,0,0,0,0.01475126,-46.02765546,0,486.9225217,71.0342681,17.8119883,0,0,0,0,0,0,0,-289.5414123,0,0,171.09,314.5,0,0,0,0,0,0,0,0,0,0,0,0
