Date,time,Biogas (m3/day)
23/04/2024,601,38688
24/04/2024,602,38688
25/04/2024,603,38688
26/04/2024,604,38688
27/04/2024,605,38688
28/04/2024,606,38688
29/04/2024,607,38424
30/04/2024,608,38424
01/05/2024,609,38496
02/05/2024,610,38496
03/05/2024,611,38496
04/05/2024,612,38496
05/05/2024,613,38496
06/05/2024,614,39000
07/05/2024,615,39000
08/05/2024,616,39000
09/05/2024,617,39000
10/05/2024,618,39000
11/05/2024,619,39000
12/05/2024,620,39000
13/05/2024,621,38904
14/05/2024,622,38904
15/05/2024,623,38904
16/05/2024,624,38904
17/05/2024,625,38904
18/05/2024,626,38904
19/05/2024,627,38904
20/05/2024,628,38784
21/05/2024,629,38784
22/05/2024,630,38784
23/05/2024,631,38784
24/05/2024,632,38784
25/05/2024,633,38784
26/05/2024,634,38784
27/05/2024,635,38712
28/05/2024,636,38712
29/05/2024,637,38712
30/05/2024,638,38712
31/05/2024,639,38712
01/06/2024,640,38112
02/06/2024,641,38112
03/06/2024,642,38376
04/06/2024,643,38376
05/06/2024,644,38376
06/06/2024,645,38376
07/06/2024,646,38376
08/06/2024,647,38376
09/06/2024,648,38376
10/06/2024,649,38232
11/06/2024,650,38232
12/06/2024,651,38232
13/06/2024,652,38232
14/06/2024,653,38232
15/06/2024,654,38232
16/06/2024,655,38232
17/06/2024,656,37656
18/06/2024,657,37656
19/06/2024,658,37656
20/06/2024,659,37656
21/06/2024,660,37656
22/06/2024,661,37656
23/06/2024,662,37656
24/06/2024,663,36864
25/06/2024,664,36864
26/06/2024,665,36864
27/06/2024,666,36864
28/06/2024,667,36864
29/06/2024,668,36864
30/06/2024,669,36864
01/07/2024,670,37800
02/07/2024,671,37800
03/07/2024,672,37800
04/07/2024,673,37800
05/07/2024,674,37800
06/07/2024,675,37800
07/07/2024,676,37800
08/07/2024,677,38640
09/07/2024,678,38640
10/07/2024,679,38640
11/07/2024,680,38640
12/07/2024,681,38640
13/07/2024,682,38640
14/07/2024,683,38640
15/07/2024,684,35520
16/07/2024,685,35520
17/07/2024,686,35520
18/07/2024,687,35520
19/07/2024,688,35520
20/07/2024,689,35520
21/07/2024,690,35520
22/07/2024,691,38184
23/07/2024,692,38184
24/07/2024,693,38184
25/07/2024,694,38184
26/07/2024,695,38184
27/07/2024,696,38184
28/07/2024,697,38184
29/07/2024,698,37992
30/07/2024,699,37992
31/07/2024,700,37992
01/08/2024,701,38664
02/08/2024,702,38664
03/08/2024,703,38664
04/08/2024,704,38664
05/08/2024,705,35760
06/08/2024,706,35760
07/08/2024,707,35760
08/08/2024,708,35760
09/08/2024,709,35760
10/08/2024,710,35760
11/08/2024,711,35760
12/08/2024,712,36504
13/08/2024,713,36504
14/08/2024,714,36504
15/08/2024,715,36504
16/08/2024,716,36504
17/08/2024,717,36504
18/08/2024,718,36504
19/08/2024,719,30264
20/08/2024,720,30264
21/08/2024,721,30264
22/08/2024,722,30264
23/08/2024,723,30264
24/08/2024,724,30264
25/08/2024,725,30264
26/08/2024,726,37200
27/08/2024,727,37200
28/08/2024,728,37200
29/08/2024,729,37200
30/08/2024,730,37200
31/08/2024,731,37200
01/09/2024,732,36840
02/09/2024,733,36840
03/09/2024,734,36840
04/09/2024,735,36840
05/09/2024,736,36840
06/09/2024,737,36840
07/09/2024,738,36840
08/09/2024,739,36840
09/09/2024,740,39000
10/09/2024,741,39000
11/09/2024,742,39000
12/09/2024,743,39000
13/09/2024,744,39000
14/09/2024,745,39000
15/09/2024,746,39000
16/09/2024,747,39240
17/09/2024,748,39240
18/09/2024,749,39240
19/09/2024,750,39240
20/09/2024,751,39240
21/09/2024,752,39240
22/09/2024,753,39240
23/09/2024,754,38808
24/09/2024,755,38808
25/09/2024,756,38808
26/09/2024,757,38808
27/09/2024,758,38808
28/09/2024,759,38808
29/09/2024,760,38808
30/09/2024,761,1630
01/10/2024,762,39312
02/10/2024,763,39312
03/10/2024,764,39312
04/10/2024,765,39312
05/10/2024,766,39312
06/10/2024,767,39312
07/10/2024,768,38784
08/10/2024,769,38784
09/10/2024,770,38784
10/10/2024,771,38784
11/10/2024,772,38784
12/10/2024,773,38784
13/10/2024,774,39624
14/10/2024,775,39624
15/10/2024,776,39624
16/10/2024,777,39624
17/10/2024,778,39624
18/10/2024,779,39624
19/10/2024,780,39624
20/10/2024,781,39624
21/10/2024,782,39791
22/10/2024,783,39791
23/10/2024,784,39791
24/10/2024,785,39791
25/10/2024,786,39791
26/10/2024,787,39791
27/10/2024,788,39791
28/10/2024,789,39840
29/10/2024,790,39840
30/10/2024,791,39840
31/10/2024,792,39840
01/11/2024,793,40776
02/11/2024,794,40776
03/11/2024,795,40776
04/11/2024,796,40536
05/11/2024,797,40536
06/11/2024,798,40536
07/11/2024,799,40536
08/11/2024,800,40536
09/11/2024,801,40536
10/11/2024,802,40536
